Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F
"214","'158","China, Taiwan Province of","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","5.3","E",,"O",,"O",,"O","4.5","E",,"O"
"214","'158","China, Taiwan Province of","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","1.2","E",,"O",,"O",,"O","1.1","E",,"O"
"50","'196","Cyprus","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","2.89","E","2.93","E","3.04","E","3.14","E","3.19","E","3.53","E"
"50","'196","Cyprus","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.42","E",,,,,,,"0.46","E",,
"50","'196","Cyprus","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.7","E",,,,,,,"0.81","E",,
"50","'196","Cyprus","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.28","E",,,,,,,"0.33","E",,
"50","'196","Cyprus","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.65","E",,,,,,,"0.74","E",,
"50","'196","Cyprus","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.72","E",,,,,,,"0.75","E",,
"50","'196","Cyprus","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.08","E",,,,,,,"0.1","E",,
"50","'196","Cyprus","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","4","E","2.7","E","2.6","E","2.2","E","2.3","E","1.8","E"
"50","'196","Cyprus","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","<0.1","E","<0.1","E","<0.1","E","<0.1","E","<0.1","E","<0.1","E"
"100","'356","India","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","2.86","E","2.87","E","2.92","E","3.01","E","3.11","E","3.36","E"
"100","'356","India","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.41","E",,,,,,,"0.42","E",,
"100","'356","India","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.89","E",,,,,,,"0.91","E",,
"100","'356","India","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.29","E",,,,,,,"0.37","E",,
"100","'356","India","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.59","E",,,,,,,"0.64","E",,
"100","'356","India","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.5","E",,,,,,,"0.53","E",,
"100","'356","India","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.14","E",,,,,,,"0.24","E",,
"100","'356","India","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","69.5","E","62.5","E","57.1","E","61.2","E","59","E","55.6","E"
"100","'356","India","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","941.1","E","855.3","E","789.3","E","854.9","E","830.9","E","788.2","E"
"101","'360","Indonesia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","3.69","E","3.82","E","3.83","E","3.98","E","4.22","E","4.64","E"
"101","'360","Indonesia","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.69","E",,,,,,,"0.69","E",,
"101","'360","Indonesia","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.93","E",,,,,,,"1.25","E",,
"101","'360","Indonesia","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.43","E",,,,,,,"0.46","E",,
"101","'360","Indonesia","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","1.16","E",,,,,,,"0.78","E",,
